データコード,MD02'MAMS3ANM2C,MD02'MAMS3AN01,MD02'MAMS3ANC,MD02'MAMS3AND,MD02'MAMS3AND1,MD02'MAMS3AND2,MD02'MAMS3ANQ,MD02'MAMS3ANQ1,MD02'MAMS3ANQ2,MD02'MAMS3ANCD,MD02'MAMS3ANCD1,MD02'MAMS3ANCD2,MD02'MAMS3AN09NE,MD02'MAMS3ANM3,MD02'MAMS3ANLNE,MD02'MAMS3ANLNE12,MD02'MAMS3ANLNE1,MD02'MAMS3ANLN2,MD02'MAMS3ANLN3,MD02'MAMS3ANLN11,MD02'MAMS3ANLN4,MD02'MAMS3ANLN6,MD02'MAMS3ANLN9,MD02'MAMS3ANLN8,MD02'MAMS3ANLN5,MD02'MAMS3ANLN7,MD02'MAMS3ANLN10,MD02'MAMS3ANLN71,MD02'MAMS3AALNEX12,MD02'MAMS3AAM2CX12,MD02'MAMS3AA01X12,MD02'MAMS3AACX12,MD02'MAMS3AADX12,MD02'MAMS3AAQX12,MD02'MAMS3ENM2C,MD02'MAMS3EN01,MD02'MAMS3ENC,MD02'MAMS3END,MD02'MAMS3END1,MD02'MAMS3END2,MD02'MAMS3ENQ,MD02'MAMS3ENQ1,MD02'MAMS3ENQ2,MD02'MAMS3ENCD,MD02'MAMS3ENCD1,MD02'MAMS3ENCD2,MD02'MAMS3EN10NE,MD02'MAMS3ENM3,MD02'MAMS3EN18NE,MD02'MAMS3EN17NE,MD02'MAMS3EN15N,MD02'MAMS3EN16N,MD02'MAMS3EAM2CX12,MD02'MAMS3EA01X12
2005/12,7125337,3886940,724107,3162833,1177326,1900006,3025218,550180,2404623,213179,145077,1053,11448663,10372425,14147517,3247088,2106254,1140834,1076238,71500,341667,111002,14695,597653,1045859,516478,332630,435973,14128404,7106372,3865101,708673,3156839,3025900,7217822,3992001,753219,3238782,1233456,1925490,3020968,549585,2403586,204853,141374,1145,11546219,10467047,3249225,2103297,1145928,1079172,7147994,3930741
2006/01,7123631,3880595,722195,3158400,1186912,1892999,3024265,555907,2400906,218771,153458,1131,11445635,10363250,14144264,3239619,2097730,1141889,1082385,69450,344714,109516,17540,586717,1053742,516950,331713,440599,14142232,7107528,3870418,709637,3161406,3019020,7108805,3883181,715169,3168012,1198654,1890534,3020635,555521,2398418,204989,142245,990,11421136,10335535,3226730,2089687,1137043,1085601,7155836,3941860
2006/02,7075584,3840851,708816,3132035,1167139,1889290,3015680,556903,2393641,219053,156161,866,11417770,10299748,14123088,3224164,2086496,1137668,1118022,61432,346708,106266,17274,612498,1042266,518874,330342,444378,14163293,7111583,3878676,709745,3167581,3015711,7116652,3912634,719546,3193088,1193960,1911942,3007094,555618,2390205,196924,142743,852,11489942,10339498,3222846,2083873,1138973,1150444,7162040,3949946
2006/03,7103071,3896889,713187,3183702,1209530,1888216,2996941,556116,2382387,209241,153924,852,11614558,10308766,14137038,3205695,2069992,1135703,1305792,54487,342046,105819,14411,636529,846386,522802,329339,447175,14173630,7114265,3883918,710888,3172661,3013019,7183713,4002787,717940,3284847,1275597,1902206,2986314,555350,2375280,194612,144561,852,11835440,10374297,3190584,2058095,1132489,1461143,7155219,3943479
2006/04,7171009,3975162,712153,3263009,1256980,1909706,2988565,558310,2372958,207282,154809,643,11908552,10366597,14277986,3195588,2059269,1136319,1541955,54899,349870,104294,11622,626408,695463,526878,351294,454696,14256999,7129136,3896418,710860,3185608,3009629,7248004,4062316,729680,3332636,1313225,1935305,2992169,563257,2373036,193519,150774,548,12067881,10445114,3197110,2058154,1138956,1622767,7135762,3893211
2006/05,7129812,3936708,711578,3225130,1236843,1897830,2996779,566511,2372607,196325,150126,557,11939606,10314115,14370023,3184303,2047855,1136448,1625491,55885,365627,101667,8898,618736,751753,527851,373250,466842,14342746,7112671,3885780,711952,3173141,3009532,7120043,3934643,708921,3225722,1206557,1892618,3003075,563290,2372153,182325,133005,552,11924018,10295799,3175756,2039317,1136439,1628219,7148307,3943004
2006/06,7122571,3896229,704645,3191584,1175034,1907321,3013961,562678,2370239,212381,134266,543,11935181,10303973,14362556,3181402,2038141,1143261,1631208,55606,369431,100846,8505,605578,752726,534683,373224,472118,14327210,7112445,3884632,711798,3170573,3016880,7184181,3981166,717890,3263276,1211292,1959228,3012243,557584,2369604,190772,117850,522,12012176,10377976,3193795,2042463,1151332,1634200,7141720,3939591
2006/07,7122757,3899407,711140,3188267,1158689,1941214,3016039,558842,2371793,207311,129833,519,11940676,10306288,14367283,3183531,2035106,1148425,1634388,55230,370314,98649,7834,578149,775093,541338,373444,472517,14315865,7093705,3880061,711855,3168348,3011365,7150273,3922094,716448,3205646,1179774,1935675,3025165,563188,2376431,203014,126570,517,11956627,10322050,3171777,2025322,1146455,1634577,7154440,3940500
2006/08,7109086,3855431,711112,3144319,1132079,1928179,3042118,571284,2383884,211537,132122,512,11911178,10277229,14390061,3168143,2020005,1148138,1633949,55005,374197,96941,9042,569779,824928,548991,374003,473881,14380254,7112426,3876237,714003,3162071,3032288,7135554,3880239,715354,3164885,1140068,1937753,3052357,572868,2392856,202958,131679,498,11934061,10300737,3165183,2015594,1149589,1633324,7173318,3948855
2006/09,7118375,3837068,707657,3129411,1127480,1909921,3062394,580149,2394621,218913,142175,517,11905316,10271807,14398924,3153432,2004261,1149171,1633509,53391,375728,96814,11062,568492,830176,557945,374349,474280,14418522,7133570,3873041,714528,3158608,3051851,7176970,3917483,715060,3202423,1214989,1912605,3065637,587049,2395112,193850,133677,517,11951576,10317879,3140909,1993739,1147170,1633697,7194096,3954742
2006/10,7098702,3819373,708820,3110553,1129998,1910209,3066811,590788,2395493,212518,149721,1022,11877366,10239505,14417035,3140803,1993303,1147500,1637861,53216,384832,95085,11152,569942,863867,561575,375087,476337,14460308,7138123,3870244,714972,3158616,3057026,7137399,3865643,716027,3149616,1155066,1926057,3067706,591008,2399335,204050,143587,1059,11917010,10274985,3137586,1989016,1148570,1642025,7206755,3954996
2006/11,7118683,3809717,709719,3099998,1122702,1899980,3076223,591640,2402422,232743,161850,1049,11892959,10246869,14502476,3128186,1979807,1148379,1646090,61324,399367,92887,9251,599293,881908,565487,376560,483651,14526197,7149763,3866946,715734,3151030,3063466,7151207,3860661,715145,3145516,1153739,1897573,3070735,583378,2405183,219811,152146,1030,11920532,10270376,3119169,1972081,1147088,1650156,7208349,3945798
2006/12,7177771,3881745,731018,3150727,1118335,1952754,3074981,583194,2412070,221045,151914,1028,11963642,10309020,14588762,3131249,1976219,1155030,1654622,67549,406121,92065,7902,611982,865417,574084,377651,488510,14567907,7157832,3861640,716193,3145982,3073466,7282114,3986452,766083,3220369,1167326,1980729,3083368,584406,2419703,212294,147768,1030,12075940,10416851,3134737,1973556,1161181,1659089,7167880,3876665
2007/01,7190874,3876967,730077,3146890,1121797,1952391,3089403,590066,2420648,224504,157687,896,11976209,10314986,14622311,3124112,1967563,1156549,1661223,66785,420976,89709,8744,605842,872309,581737,377254,484290,14619159,7172528,3868054,717717,3150705,3082318,7191368,3896458,722464,3173994,1151122,1951438,3084917,587354,2421287,209993,145250,838,11965985,10302625,3111257,1959559,1151698,1663360,7229835,3940264
2007/02,7149406,3841394,718988,3122406,1097353,1954644,3084720,589980,2419856,223292,158313,827,11931723,10261136,14628503,3111730,1957977,1153753,1670587,66697,437195,88648,8128,627530,890314,578268,377069,482043,14668075,7184253,3878873,719608,3157691,3085824,7205634,3931177,730203,3200974,1137719,1980527,3076795,588430,2417753,197662,140999,829,11994970,10317153,3111519,1956430,1155089,1677817,7241146,3947218
2007/03,7178824,3886866,723048,3163818,1129668,1949958,3076687,589046,2418854,215271,156310,708,11956040,10275277,14659176,3096453,1942889,1153564,1680763,66753,432270,87792,6848,652239,881973,575261,378124,486198,14704936,7190814,3873408,720356,3152557,3094960,7290351,4020673,729403,3291270,1216499,1956070,3074696,586490,2421894,194982,149322,642,12055552,10371839,3081488,1931078,1150410,1683713,7247376,3940957
2007/04,7250297,3944771,722602,3222169,1165689,1962308,3098803,600874,2426618,206723,152003,626,12053503,10339801,14767949,3089504,1933952,1155552,1713702,67255,440648,86238,8719,642200,888063,581323,386539,489616,14750957,7206035,3866037,721225,3144979,3119527,7345543,4052873,743629,3309244,1242310,1987036,3112982,609473,2432721,179688,136962,631,12183427,10439734,3094191,1934853,1159338,1743693,7286376,3959208
2007/05,7233933,3916032,720502,3195530,1162146,1944177,3121830,611248,2438818,196071,148149,623,12062304,10313056,14827827,3079123,1921074,1158049,1749248,69368,468320,84860,10166,635297,910486,587026,393628,487104,14797238,7217698,3866234,721448,3144804,3134341,7245622,3936131,719729,3216402,1148134,1941414,3123191,602640,2442869,186300,132593,629,12070886,10316083,3070461,1912107,1158354,1754803,7278093,3949304
2007/06,7255130,3890810,717028,3173782,1112303,1957426,3140648,599934,2446401,223672,144638,634,12091861,10333791,14900425,3078661,1911835,1166826,1758070,71153,485738,84731,10142,667812,895129,593859,392935,484563,14858962,7241321,3877879,723806,3152370,3143610,7361789,4023370,733761,3289609,1188733,2018123,3141388,592436,2449133,197031,128512,634,12213797,10452456,3090667,1914899,1175768,1761341,7301547,3956564
2007/07,7268632,3893975,723215,3170760,1096619,1989777,3157563,601537,2454525,217094,142152,631,12112567,10349228,14950804,3080596,1906916,1173680,1763339,70639,497546,84781,10003,678000,907482,589786,393125,486512,14901254,7241694,3873642,724131,3149817,3153907,7292035,3922223,726355,3195868,1128164,1981251,3164099,602889,2459787,205713,132506,617,12125582,10360244,3068209,1897155,1171054,1765338,7305690,3952813
2007/08,7237192,3845178,721370,3123808,1070817,1971021,3167810,602178,2463537,224204,147414,612,12070841,10304883,14957705,3067691,1895378,1172313,1765958,70793,499513,83452,7071,688993,962133,574909,393291,488814,14946692,7243219,3867769,724562,3143213,3159572,7264962,3882163,725497,3156666,1092411,1978214,3172322,603771,2469852,210477,139645,609,12094930,10328351,3063389,1890566,1172823,1766579,7304734,3948589
2007/09,7241613,3838335,718890,3119445,1080175,1950983,3178501,606326,2471342,224777,149816,549,12064864,10295446,14961680,3053833,1881878,1171955,1769418,69882,495731,81762,9118,699719,968236,572368,393320,494486,14983522,7260427,3874163,725798,3148432,3168711,7316167,3932148,730728,3201420,1168892,1958789,3182607,610212,2474351,201412,145964,526,12132098,10359840,3043673,1874701,1168972,1772258,7294117,3920314
2007/10,7235210,3821875,721002,3100873,1077105,1955271,3191307,619317,2478366,222028,164557,563,12072602,10295909,14986480,3060699,,,1776693,68801,502987,80018,10695,678157,995810,577410,390305,501992,15030993,7276387,3873171,727085,3148039,3181445,7295705,3887762,727901,3159861,1118727,1972615,3202131,626312,2484311,205812,152729,596,12126802,10345671,3049966,,,1781131,7358361,3964828
2007/11,7260911,3819170,722153,3097017,1074301,1948576,3210976,626149,2488265,230765,166040,593,12091004,10304707,15050322,3043796,,,1786297,69324,518163,79063,12482,669163,1034089,577034,385530,512927,15068546,7291814,3877611,728033,3149393,3196758,7303820,3882477,729046,3153431,1115324,1944862,3207256,617692,2493272,214087,151148,588,12127199,10335734,3031914,,,1791465,7359064,3968183
2007/12,7326547,3896542,742967,3153575,1079110,1996535,3213859,612679,2506346,216146,148096,655,12172318,10373097,15115523,3046550,,,1799221,69896,524746,77635,11006,670135,1009775,580012,376274,519262,15093334,7304739,3876774,728355,3149312,3210212,7444103,4010278,780755,3229523,1132751,2026027,3228142,612801,2520751,205683,143051,654,12301722,10494743,3050640,,,1806979,7386418,3989404
2008/01,7345348,3881429,740441,3140988,1077384,1990765,3243630,620720,2528847,220289,154429,658,12194262,10384717,15146862,3039369,,,1809545,69557,530242,76051,10205,675672,1013683,577190,367387,525562,15144592,7325056,3873139,728026,3145523,3234355,7361478,3895259,731895,3163364,1110539,1980146,3258566,625017,2539599,207653,144018,660,12196571,10384458,3022980,,,1812113,7400900,3937854
2008/02,7316715,3829954,726931,3103023,1054441,1977455,3259398,624792,2542998,227363,161177,667,12157923,10342695,15117584,3025980,,,1815228,70313,532700,74914,9801,669389,1031843,570701,366091,541104,15159693,7351229,3866566,727331,3137546,3260641,7379192,3909951,737915,3172036,1093389,1996760,3261160,627070,2547767,208081,148556,665,12220310,10401965,3022773,,,1818345,7414095,3918138
2008/03,7340702,3866059,729451,3136608,1090193,1964309,3258560,628585,2549359,216083,157033,658,12173453,10352161,15144709,3011459,,,1821292,72128,515373,75580,10144,706418,1025490,566123,366765,556002,15199106,7353852,3851815,726562,3124839,3279005,7410146,3966059,731838,3234221,1158312,1972877,3254351,627972,2553116,189736,141664,653,12230907,10406665,2996519,,,1824242,7380510,3899274
2008/04,7385144,3896527,727753,3168774,,,3269513,,,219104,,,12164499,10386796,15184268,3001652,,,1777703,73260,512765,75258,10178,758837,1022010,567461,375180,558051,15168531,7339186,3818888,726350,3092800,3291133,,,,,,,,,,,,,,,,,,,,
2008/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
